what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201109270310,"org.eclipse.wb.core.lib",1353187078348
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.core",1353187078348
os,sysinfo,,,"win32",1353187078353
arch,sysinfo,,,"x86",1353187078353
ws,sysinfo,,,"win32",1353187078353
locale,sysinfo,,,"en_US",1353187078353
processors,sysinfo,,,"2",1353187078353
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1353187078353
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1353187078353
java.specification.name,sysinfo,,,"Java Platform API Specification",1353187078353
java.specification.vendor,sysinfo,,,"Oracle Corporation",1353187078353
java.specification.version,sysinfo,,,"1.7",1353187078353
java.vendor,sysinfo,,,"Oracle Corporation",1353187078353
java.version,sysinfo,,,"1.7.0_07",1353187078353
java.vm.info,sysinfo,,,"mixed mode",1353187078353
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1353187078353
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1353187078353
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1353187078353
java.vm.specification.version,sysinfo,,,"1.7",1353187078353
java.vm.vendor,sysinfo,,,"Oracle Corporation",1353187078353
java.vm.version,sysinfo,,,"23.3-b01",1353187078353
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1353187078509
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.ui",1353187078623
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1353187099197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353187103517
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353187105585
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353187105716
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1353187105940
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1353187106155
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1353187106157
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1353187106158
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1353187106159
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1353187106160
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1353187106161
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1353187106162
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1353187106163
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1353187106163
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1353187106164
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1353187106165
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1353187106166
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.401.v201108240414,"org.eclipse.jst.ws.consumption.ui",1353187106168
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.601.v201108230319,"org.eclipse.jst.ws.consumption",1353187106169
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1353187106170
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1353187106170
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1353187106172
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1353187106173
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1353187106174
